cluster_id,size,cluster_template,example_raw,label
T00016501,4,[2025-09-01T17:09:44.421] Requering <*> [2025-09-01T17:09:44.421] [2025-09-01T17:09:44.421]2025-09-01T17:09:4,[2025-09-01T17:39:42.639] update_node: node cpu-48c-std-dy-c7i24xlarge-19 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015809,4,gpu-l4-4c-dy-g62xlarge-1 gpu-l4-4c-dy-g62xlarge-1--g62xlarge-1-g62xlarge-1 POWER:g POWER:-,[2025-09-01T16:59:23.003] POWER: no more nodes to resume for job JobId=872,
T00016179,4,:: POWER: no more nodes to resume for job <*> POWER: no more nodes to resume for job JobId=866: no more nodes to resume for job:5-0,[2025-09-01T16:54:13.964] POWER: no more nodes to resume for job JobId=867,
T00015591,4,2025-08-28T07:32:38.609] [2025-08-28T07:32:38.609] accounting_storage/slurmdbd: _load_dbd_state: recovered 0 pending RPCs.,[2025-08-28T07:32:38.773] error: Sending PersistInit msg: Connection refused,node_error_event
T00015857,4,[2025-08-29T14:32:47.041] [2025-08-29T14:32:47.041] [2025-08-29T14:32:47.041] [2025-08-29T14:32:47.041] [2025-0,[2025-08-29T16:32:27.000] Resetting JobId=844 start time for node power up,
T00015453,4,2025-08-27T11:20:45.544] [2025-08-27T11:20:45.544] [2025-08-27T11:20:45.544] [2025-08-27T11:20:45.544] accounting_storage,[2025-08-28T07:32:38.609] accounting_storage/slurmdbd: init: Accounting storage SLURMDBD plugin loaded,
T00015539,4,<*> waking nodes <*> waking <*>,[2025-09-01T15:32:04.365] POWER: no more nodes to resume for job JobId=858,
T00015451,4,<*> select/cons_tres: init: select/cons_tres loaded <*> select/cons_tres: init: select/cons_tres loaded,[2025-09-02T08:21:03.268] select/linear: init: Linear node selection plugin loaded with argument 17,
T00015383,4,power down request repeating for node <*> power down <*> <*>,[2025-09-02T08:20:56.574] power down request repeating for node test-cpu-4c-c7iflex-dy-c7iflex2xlarge-2,
T00016020,4,cpu-8c-std-dy-c7i4xlarge-1. [2025-08-31T23:26:47.641]-c7i4xlarge-1-node-cpu--..,[2025-09-01T13:47:42.623] POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-1,
T00015670,4,POWER: no more nodes to resume for job <*> POWER: no more nodes to resume for job POWER: no more nodes to resume for job POWER: no more nodes to resume for job,[2025-08-29T08:10:23.000] sched: Allocate JobId=831 NodeList=gpu-1g-l4-4c-dy-g62xlarge-1 #CPUs=8 Partition=gpu-1g-l4-4c,
T00015441,4,. [2025-08-27T11:20:45.445]. [2025-08-27T11:20:45.445]. [2025-08-27T11:20:45.445] Saving all slurm state. [2025-0,[2025-08-28T07:32:38.559] Terminate signal (SIGINT or SIGTERM) received,
T00016102,4,[2025-09-01T15:32:20.799] _job_complete: JobId=855 done [2025-09-01T15:32:20.799] [2025-09-01T15:32:20.799] _job_complete: JobId,[2025-09-01T18:58:00.010] _job_complete: JobId=867 WEXITSTATUS 1,
T00016010,4,cpu-8c-std-dy-c7i4xlarge-1 cpu-8c-std-dy-c7i4xlarge-1_save: waking nodes-cpu-- cpu-,[2025-09-01T16:30:27.788] POWER: no more nodes to resume for job JobId=868,
T00015610,4,[2025-08-28T07:32:38.756] Gres=l4 [2025-08-28T07:32:38.756] Gres [2025-08-28T07:32:38.756]s -,"[2025-08-28T07:32:38.758] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016317,4,_node: node cpu-48c-std-dy-c7i24xlarge-11 state set to DOWN..-c7i24xlarge-11 state set to DOWN.-node-cpu-48c-,[2025-09-01T18:06:34.903] Requeuing JobId=871,
T00015386,4,: node [2025-08-27T09:41:14.406] update_node: <*> <*>,[2025-09-02T08:20:56.575] power down request repeating for node test-cpu-4c-c7iflex-dy-c7iflex2xlarge-5,
T00016970,4,<*> Gres <*> <*> Gres=0gpugpu Type=l4=l,"[2025-09-02T08:21:05.191] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015566,3,[2025-08-27T22:22:07.027] [2025-08-27T22:22:07.027] [2025-08-27T22:22:07.027] [2025-08-27T22:22:07.027] [2025-0,[2025-08-28T18:23:46.224] POWER: Power save mode: 210 nodes,
T00016299,3,: [2025-09-01T16:17:06.176] update_node: node.[2025-09-01T16:17:06.176] <*> <*>,[2025-09-01T16:52:42.368] update_node: node cpu-48c-std-dy-c7i24xlarge-13 state set to DOWN,
T00016403,3,<*> [2025-09-01T16:42:22.255] [2025-09-01T16:42:22.255] <*>,[2025-09-01T16:44:24.892] POWER: no more nodes to resume for job JobId=869,
T00016954,3,[2025-09-02T08:21:05.150]... [2025-09-02T08:21:05.150] Recovered state of 210 nodes. [2025-09-02T08:21:05.150] Recovered state,[2025-09-02T14:29:18.700] sched: Backfill scheduler plugin loaded,node_recovered
T00017101,3,[2025-09-02T14:29:18.806] Gres=l400 [2025-09-02T14:29:18.806] Gres806]gpugpu Type=l4=l,"[2025-09-03T07:52:15.204] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016332,3,[2025-09-01T16:25:25.112] requeue job JobId=871-cpu-48c-std-dy-c7i24xlarge-11 [2025-09-01T16:25:5.115],[2025-09-01T16:35:42.369] update_node: node cpu-48c-std-dy-c7i24xlarge-11 state set to DOWN,
T00016327,3,_node: node. [2025-09-01T16:25:25.115] update_node: node [2025-09-01T16:25:25.115] update_node: node cpu-48c-s,[2025-09-01T16:25:50.115] requeue job JobId=870 due to failure of node cpu-48c-std-dy-c7i24xlarge-10,job_failed_event
T00016191,3,cpu-48c-std-dy-c7i24xlarge-20 state set to DOWN.006.157:47:06.157 node cpu-48c-std-dy-c7i24xlarge-20 state,[2025-09-01T15:57:06.198] update_node: node cpu-48c-std-dy-c7i24xlarge-9 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00016319,3,: [2025-09-01T16:22:06.184] update_node: <*>,[2025-09-01T16:37:43.198] Requeuing JobId=872,
T00015620,3,[2025-08-28T07:32:43.656] Processing Reconfiguration Request [2025-08-28T07:32:43.656] [2025-08-28T07:32:43.656] Processing Reconfiguration Request [2025-08-28T07:,[2025-08-28T07:32:45.516] Running as primary controller,
T00015461,3,:. [2025-08-27T11:20:46.076] Backfill [2025-08-27T11:20:46.076] Backfill scheduler plugin loaded loaded [2025-08-27T11:20:46.076] Backfill scheduler,[2025-08-28T07:32:38.702] topology/default: init: topology Default plugin loaded,
T00015468,3,[2025-08-27T11:20:46.107] Gres Count=1107 [2025-08-27T11:20:46.107] Gres= gpugpugpugpugpu=l,"[2025-09-02T14:29:26.581] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016287,3,[2025-09-01T16:16:17.002] sched: [2025-09-01T16:16:17.002] [2025-09-01T16:16:17.002] sched: [2025-09-01T16:16:17.002,[2025-09-01T16:46:26.013] error: unable to split forward hostlist,node_error_event
T00015692,3,<*> Node <*> now responding. <*> Node <*>,[2025-09-01T16:30:27.787] POWER: no more nodes to resume for job JobId=867,
T00015622,3,sched/backfill plugin shutting down [2025-08-28T07:32:43.667] sched/backfill: [2025-08-28T07:32:43.667] sched/backfill: [2025-08-28T07:32,[2025-09-02T08:21:03.162] Reconfigure signal (SIGHUP) received,
T00017065,3,"--3, and instance_name=c7i.24xlarge-3.000:00.131-3/192.168.12.1950fe4b65a101cd05c1- POWER:00:46.1--",[2025-09-02T14:03:39.932] Node cpu-48c-std-dy-c7i24xlarge-5 now responding,
T00015634,3,[2025-08-28T07:32:45.475] Gres Count=1]] [2025-08-28T07:32:45.475] Gres=5.475]gpugpu Type=l4=l,[2025-09-02T08:20:58.236] Recovered state of 12 partitions,node_recovered
T00016360,3,[2025-09-01T16:35:17.003] sched: [2025-09-01T16:35:17.003] [2025-09-01T16:35:17.003] sched: [2025-09-01T16:35:17.003,[2025-09-01T16:44:23.013] error: unable to split forward hostlist,node_error_event
T00015442,3,sched/backfill plugin shutting down [2025-08-27T11:20:45.464] sched/backfill plugin shutting down [2025-08-27T11:20:45.464] sched/backfill: [2025-08-27T,[2025-09-02T08:21:03.163] Saving all slurm state,
T00016228,3,[2025-09-01T15:58:06.148] for node power down request repeating for node:::: [2025-09-01T15:58:06.148]:58.:.:58.148] power,[2025-09-01T16:13:06.211] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-18,
T00016922,3,[2025-09-02T08:20:58.262] Gres Count=100 [2025-09-02T08:20:58.262] Gresgpugpugpugpugpu=,"[2025-09-02T08:20:58.267] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00015676,3,-c7iflex-dy-c7iflex4xlarge-1 to test-cpu-8c-c7iflex-dy-c7iflex4xlarge-1.--c7iflex4xlarge-1 now responding now-c7i,[2025-08-28T10:13:58.687] POWER: power_save: waking nodes cpu-16c-std-dy-c7i8xlarge-2,
T00017008,3,[2025-09-02T09:28:19.242] _slurm_rpc_submit_batch_job: JobId=905 InitPrio=34090 usec=536 [2025-09-02T09:28:,[2025-09-02T14:57:52.980] _job_complete: JobId=934 done,
T00015711,3,_save: suspending <*> <*> <*>,[2025-08-31T19:33:21.150] job_signal: 9 of configuring JobId=847 successful,
T00016253,3,: POWER: no more nodes to resume for job JobId=872 [2025-09-01T16:06:41.618] POWER: no more nodes to resume for job5-09-01T16:06:41.618] POWER: no more,[2025-09-01T16:16:30.686] POWER: no more nodes to resume for job JobId=870,
T00016367,3,_node: node..-c7i24xlarge-12-cpu-48c-std-dy-c7i24xlarge-12-c7i24xlarge-12-c7i24xlarge-12-c7i,[2025-09-01T16:49:36.281] Requeuing JobId=871,
T00015932,3,[2025-08-30T14:18:47.325] [2025-08-30T14:18:47.325] [2025-08-30T14:18:47.325] [2025-08-30T14:18:47.325] [2025-08-30T14,[2025-08-30T23:16:07.150] POWER: Power save mode: 210 nodes,
T00017277,3,[2025-09T07:52:06.974] power down request repeating for node for node power down request repeating for node-dy-g6xlarge-40.-dy-g6xlarge power down request5-09-03,[2025-09-03T07:52:06.974] update_node: node gpu-1g-l4-2c-dy-g6xlarge-55 reason set to: updating node state during cluster update,
T00015593,3,"<*> 1 specified more than once, latest value used. <*> error: <*> 1 specified more than once, latest value used.","[2025-09-02T08:20:58.112] error: Association database appears down, reading from state file.",node_error_event
T00016151,3,[2025-09-01T15:38:06.208] power down request repeating for node node [2025-09-01T15:38:06.208]:: power down request repeating for node:2025-09-01T15:38:,[2025-09-01T15:43:06.201] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-8,
T00016571,3,[2025-09-01T17:34:32.618] Requering <*> [2025-09-01T17:34:32.618] <*>,[2025-09-01T17:49:31.740] update_node: node cpu-48c-std-dy-c7i24xlarge-7 reason set to: (Code:InsufficientInstanceCapacity)Failure when resuming nodes,job_failed_event
T00015806,3,node <*>,[2025-09-02T15:31:30.900] POWER: Power save mode: 325 nodes,
T00016124,3,<*> power down request repeating for <*> <*> <*>,[2025-09-01T18:05:06.241] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-12,
T00015540,3,-g6xlarge-2.-g6xlarge-2-g6xlarge-2 [2025-08-27T13:23:05.335] [2025-08-27T13:23:05.335] Node gpu-1g-l4-2,[2025-08-28T16:53:21.577] POWER: power_save: waking nodes cpu-8c-std-dy-c7i4xlarge-1,
T00016058,3,cpu_save: waking nodes cpu-std-dy-c7i4xlarge-1 waking nodes-c7i4xlarge-1---_wake: waking nodes waking,[2025-09-01T15:36:43.400] POWER: no more nodes to resume for job JobId=863,
T00015856,3,<*> <*> <*> Resetting <*> start time for node,[2025-09-01T20:30:38.001] job_time_limit: Configuration for JobId=874 complete,
T00016463,3,<*> [2025-09-01T16:59:24.352] Requering <*> [2025-09-01T16:59:24.352] Requering <*>,[2025-09-01T17:36:36.644] Requeuing JobId=870,
T00015320,3,power down request repeating for node. power down request repeating for <*> power down5-08,[2025-08-27T09:41:14.246] update_node: node gpu-1g-l4-16c-dy-g68xlarge-2 reason set to: stopping cluster,
T00016103,3,[2025-09-01T15:32:26.320] _job_complete: JobId=860 done [2025-09-01T15:32:26.320] [2025-09-01T15:32:26.320] [2025-09-01T15:32,[2025-09-01T19:18:13.677] _job_complete: JobId=868 done,
T00016450,3,[2025-09-01T16:57:17.001] sched: [2025-09-01T16:57:17.001]-dy-c7i24xlarge-150000 sched: sched #,[2025-09-03T07:52:07.460] update_node: node test-cpu-4c-c7iflex-dy-c7iflex2xlarge-3 reason set to: updating node state during cluster update,
T00016609,3,[2025-09-01T17:51:35.744] Requering JobId=871 [2025-09-01T17:51:35.744] [2025-09-01T17:51:35.744]35.744.444 [2025-0,[2025-09-01T18:01:24.813] Requeuing JobId=869,
T00015278,3,[2025-08-27T09:41:14.053]. <*>,[2025-08-27T09:41:14.182] update_node: node gpu-1g-l4-2c-dy-g6xlarge-17 reason set to: stopping cluster,
T00017137,3,[2025-09-02T14:29:26.605] Gres Count=16.6054 gpu [2025-09-02T14:29:26.605] Gres=1 Type=l4 Count=1,"[2025-09-02T14:29:26.608] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00017276,3,: node <*> [2025-09-03T07:52:06.974] update_node: node_node node state during cluster node state,[2025-09-03T07:52:06.974] drain_nodes: node gpu-1g-l4-2c-dy-g6xlarge-54 state set to DRAIN,node_draining_state
T00016424,3,[2025-09-01T16:47:32.234]5-09-01T16:47:32.234:32.234:32.234 [2025-09-01T16:47:32.234]:32.2345-09-01T16:,"[2025-09-01T17:29:21.227] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[7-8,19-20]",
T00016659,3,to resume for job POWER: no more nodes to resume for job6969 [2025-09-01T18:08:37.525] POWER: no more nodes to resume for job JobId=869 869 JobId=869 JobId=,[2025-09-01T18:24:07.639] POWER: power_save: suspending nodes cpu-48c-std-dy-c7i24xlarge-[9-10],
T00016931,2,[2025-09-02T08:20:58.289] Gres Count=104 [2025-09-02T08:20:58.289] Gres [2025-09-02T08:20:58.289],"[2025-09-03T07:52:09.516] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,HAS_TYPE,ENV_NVML,ENV_RSMI,ENV_ONEAPI,ENV_OPENCL,ENV_DEFAULT",
T00016549,2,5-09-01T17:26:16.586 [2025-09-01T17:26:16.586] [2025-09-01T17:26:16.586] Requering JobId=869 [2025-09-01T17:26:16.586,[2025-09-01T17:34:31.264] POWER: no more nodes to resume for job JobId=870,
T00016667,2,[2025-09-01T18:10:18.000] sched: [2025-09-01T18:10:18.000] [2025-09-01T18:10:18.000] sched: [2025-09-01T18:10:18.000,[2025-09-01T18:29:50.025] update_node: node cpu-48c-std-dy-c7i24xlarge-12 state set to DOWN,
T00016362,2,[2025-09-01T16:35:42.369] Requering <*> <*> [2025-09-01T16:35:42.369] Requering <*> <*> [2025-09-01T,[2025-09-01T18:03:27.485] POWER: no more nodes to resume for job JobId=869,
T00016575,2,[2025-09-01T17:36:06.209] for node power down request repeating for node:: power down request repeating for node power down request [2025-09-01T17:36:06.209]:5-0,[2025-09-01T18:09:06.231] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: (Code:InsufficientInstanceCapacity)Temporarily disabling node due to insufficient capacity,
T00015456,2,": SchedulerParameters 1 specified more than once, latest value used. [2025-08-27T11:20:46.070] error: SchedulerParameters 1 specified more than once, latest value used. [2025-08-27T11:20:46.0","[2025-08-28T07:32:45.448] error: ProctrackType 1 specified more than once, latest value used",node_error_event
T00016587,2,[2025-09-01T17:41:06.247]. power down request:: power down request repeating for node: <*>,[2025-09-01T18:10:06.236] update_node: node cpu-48c-std-dy-c7i24xlarge-10 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016612,2,[2025-09-01T17:54:41.744] [2025-09-01T17:54:41.744] [2025-09-01T17:54:41.744].744] [2025-09-01T17:54:41.744] [,[2025-09-01T18:25:42.032] Requeuing JobId=872,
T00015291,2,[2025-08-27T09:41:14.085]. power down request <*> power down <*>,[2025-09-03T07:52:06.172] power down request repeating for node cpu-8c-std-dy-c7i4xlarge-9,
T00016328,2,_node: node DOWN. [2025-09-01T16:25:25.115] update_node: node [2025-09-01T16:25:25.115] update_node: node cpu-48c,[2025-09-01T16:25:50.115] update_node: node cpu-48c-std-dy-c7i24xlarge-9 state set to DOWN,
T00016658,2,cpu-48c-std-dy-c7i24xlarge-[15-18] POWER: power_save: suspending nodes POWER: power_save: suspending nodes [2025-09-01T18:08:,[2025-09-01T18:15:06.255] powering down node cpu-48c-std-dy-c7i24xlarge-18,
T00016343,2,: POWER: no more nodes to resume for job POWER: no more nodes to resume for job:27.788 [2025-09-01T16:30:27.788] POWER: no more nodes to resume for job.788],[2025-09-01T16:35:37.825] POWER: no more nodes to resume for job JobId=866,
T00016864,2,: node cpu <*> node. <*> update_node: node cpu <*>,[2025-09-02T08:20:56.119] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-6,
T00016822,2,[2025-09-01T23:54:20.327] _slurm_rpc_submit_batch_job: JobId=876 InitPrio=37209 usec=611 [2025-09-01T23:54:20.3,[2025-09-02T11:19:14.512] job_signal: 9 of running JobId=918 successful 0x8004,
T00015542,2,"-2/gpu-1g-l4-2c-dy-g6xlarge-2/192.168.3.137-2, instance_name=g6.xlarge-2.]] [2025-08-27T13:23:05.335] [2025-08",[2025-09-02T09:04:07.332] Node cpu-16c-std-dy-c7i8xlarge-1 now responding,
T00016845,2,[2025-09-02T07:53:55.131] _slurm_rpc_submit_batch_job: JobId=882 InitPrio=34090 usec=817 usec=817 usec=817 usec,[2025-09-02T08:06:38.618] _job_complete: JobId=887 done,
T00015509,2,_save: waking <*>,[2025-08-29T10:40:17.306] POWER: no more nodes to resume for job JobId=839,
T00016418,2,[2025-09-01T16:47:17.001] sched: [2025-09-01T16:47:17.001]-dy-c7i24xlarge-15 000 sched: sched #,[2025-09-01T18:29:19.000] sched: Allocate JobId=871 NodeList=cpu-48c-std-dy-c7i24xlarge-11 #CPUs=48 Partition=cpu-48c-std,
T00016539,2,[2025-09-01T17:24:18.002] sched: [2025-09-01T17:24:18.002] [2025-09-01T17:24:18.002] sched: [2025-09-01T17:24:18.002,[2025-09-01T17:41:06.247] update_node: node cpu-48c-std-dy-c7i24xlarge-20 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016458,2,nodes to resume for job68 [2025-09-01T16:59:23.003] POWER: no more nodes to resume for job5-09-01T16:59:23.003] POWER: no more nodes to resume for job: no more no,[2025-09-01T17:06:06.167] update_node: node cpu-48c-std-dy-c7i24xlarge-10 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015560,2,[2025-08-27T17:28:30.047] job_signal: 9 of running JobId=799 jobId=799 successful 0x8004 job_signal: 9 of running JobId=799 successful 0x8004 job_sign,[2025-08-29T16:02:10.701] POWER: power_save: suspending nodes gpu-1g-l4-2c-dy-g6xlarge-1,
T00016410,2,POWER: no more nodes to resume for job68 POWER: no more nodes to resume for job:868 POWER: no more nodes to resume for job JobId=868 JobId=868 POWER: no more nodes to resume for,[2025-09-01T17:06:37.056] POWER: no more nodes to resume for job JobId=869,
T00016432,2,: JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 Job,[2025-09-01T17:11:06.228] update_node: node cpu-48c-std-dy-c7i24xlarge-11 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015486,2,. [2025-08-27T11:21:49.160] POWER: no more nodes to resume for job [2025-08-27T11:21:49.160]:49.160] POWER: no more nodes to resume for job,[2025-08-27T12:53:50.000] sched: Allocate JobId=796 NodeList=gpu-1g-l4-2c-dy-g6xlarge-2 #CPUs=4 Partition=gpu-1g-l4-2c,
T00016434,2,-[13-20] POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER: power_save: suspending nodes POWER,[2025-09-01T18:23:36.636] POWER: no more nodes to resume for job JobId=872,
T00015553,2,-g6xlarge-1.g6xlarge-1-g6xlarge-1 gpu-1g-l4-2c-dy-g6xlarge-1-g6xlarge-1-.5-08-27T15:07:06.00,[2025-08-29T10:40:17.307] POWER: power_save: waking nodes gpu-1g-l4-2c-dy-g6xlarge-1,
T00015293,2,cpu-48c-std-dy-c7i24xlarge-1 node..-cpu-48c-std-dy-c7i24xlarge-1..5-08-27T09:,[2025-09-02T08:20:56.497] power down request repeating for node test-cpu-2c-t3-dy-t3xlarge-3,
T00016441,2,node cpu-48c-std-dy-c7i24xlarge-12. cpu-48c-std-dy-c7i24xlarge-12 <*> <*>,[2025-09-01T17:41:06.247] update_node: node cpu-48c-std-dy-c7i24xlarge-9 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00016911,2,[2025-09-02T08:20:58.229] topology/default: init: topology Default plugin loaded.,[2025-09-03T07:52:09.288] accounting_storage/slurmdbd: clusteracct_storage_p_register_ctld: Registering slurmctld at port 6820 with slurmdbd,
T00016397,2,<*> error: unable to split forward hostlist forward <*> <*> <*> <*> <*> <*> <*> <*> <*>,[2025-09-01T17:06:37.000] job_time_limit: Configuration for JobId=867 complete,
T00016445,2,node <*> <*> [2025-09-01T16:54:06.247],[2025-09-01T17:39:42.639] Requeuing JobId=872,
T00016383,2,: POWER: no more nodes to resume for job872:872 <*> POWER: no more nodes to resume for job JobId=872 JobId=872 JobId=872,[2025-09-01T16:52:40.953] POWER: no more nodes to resume for job JobId=871,
T00016365,2,[2025-09-01T16:35:42.369] Requering JobId=870 [2025-09-01T16:35:42.369] [2025-09-01T16:35:42.369]69.. JobId=,[2025-09-01T18:08:38.899] Requeuing JobId=869,
T00016382,2,: JobId=871 JobId=871 JobId=871 JobId=871 <*> <*> <*> <*> <*> <*>,[2025-09-01T18:12:45.556] POWER: no more nodes to resume for job JobId=870,
T00016914,2,[2025-09-02T08:20:58.235] StepId=extern [2025-09-02T08:20:58.235] StepId=extern StepId=extern StepId=876.5-09,[2025-09-03T07:52:09.423] Recovered state of 335 nodes,node_recovered
T00016888,2,: node <*> node state during cluster <*>,[2025-09-02T08:20:56.263] update_node: node gpu-1g-l4-4c-dy-g62xlarge-21 reason set to: updating node state during cluster update,
T00016473,2,[2025-09-01T17:02:33.168] Requering <*> [2025-09-01T17:02:33.168] <*> <*>,[2025-09-01T17:16:26.130] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[15-18],
T00016379,2,:: <*> update_node: <*> <*>,[2025-09-01T17:40:06.207] update_node: node cpu-48c-std-dy-c7i24xlarge-9 state set to DOWN,
T00016887,2,: node <*>,[2025-09-02T08:20:56.262] update_node: node gpu-1g-l4-4c-dy-g62xlarge-20 reason set to: updating node state during cluster update,
T00016376,2,5-09-01T16:37:43.198 [2025-09-01T16:37:43.198] Requering JobId=871: JobId=871 [2025-09-01T16:37:43.198] Requering Job,[2025-09-01T16:44:26.235] update_node: node cpu-48c-std-dy-c7i24xlarge-12 state set to DOWN,
T00016490,2,POWER: no more nodes to resume for job JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId=871 JobId,[2025-09-01T18:51:30.840] POWER: no more nodes to resume for job JobId=871,
T00015496,2,gpu-l4-2c-dy-g6xlarge-1 gpu-l4-2c-dy-g6xlarge-1-gpu-l4-dy-g6xlarge-1gpu-gg POWER,[2025-08-29T07:58:34.128] POWER: no more nodes to resume for job JobId=830,
T00016903,2,pending RPCs. 59 pending RPCs. 59 pending RPCs. [2025-09-02T08:20:58.085] [2025-09-02T08:20:58.085] [2025-09-02T08:,[2025-09-02T14:29:18.534] sched/backfill: fini: Backfill scheduler plugin shutting down,
T00016535,2,[2025-09-01T17:21:36.170] [2025-09-01T17:21:36.170] [2025-09-01T17:21:36.170] [2025-09-01T17:21:36.170] [2025-09-01T17,[2025-09-01T18:55:38.871] POWER: no more nodes to resume for job JobId=871,
T00016519,2,5-09-01T17:14:23.431] [2025-09-01T17:14:23.431] Requering JobId=872 [2025-09-01T17:14:23.431] Requering JobId=872 [2025-09,[2025-09-01T17:54:41.744] Requeuing JobId=871,
T00015445,2,"pidfile not locked, assuming no running daemon.. pidfile not locked, assuming no running daemon.. <*> pidfile not locked, assuming no running daemon.",[2025-09-02T14:29:18.539] Unable to remove pidfile '/var/run/slurmctld.pid': Permission denied,
T00016155,2,<*> power down request repeating for node <*> <*> <*>,[2025-09-01T15:58:06.148] update_node: node cpu-48c-std-dy-c7i24xlarge-13 reason set to: Enabling node since insufficient capacity timeout expired,node_unresponsive
T00015413,2,<*> POWER: Power save mode: <*> <*> <*> POWER: <*> <*> <*>,[2025-09-02T10:51:27.318] POWER: power_save: suspending nodes test-cpu-8c-c7iflex-dy-c7iflex4xlarge-2,
T00015710,2,job_signal: 9 of configuring <*> successful job_signal: 9 of configuring <*> successful job_signal: 9 of configuring <*> successful job_signal: 9 of configuring <*> successful,[2025-09-02T09:04:35.001] Resetting JobId=897 start time for node power up,
T00016098,2,[2025-09-01T15:32:07.000]. [2025-09-01T15:32:07.000] [2025-09-01T15:32:07.000] Resetting:32:07.000 [2025-09-01T15:32:07.000],"[2025-09-01T17:14:22.116] POWER: power_save: waking nodes cpu-48c-std-dy-c7i24xlarge-[7-8,19-20]",
T00017110,2,[2025-09-02T14:29:18.825]._controller not specified. [2025-09-02T14:29:18.825] backup_controller not specified. [2025-09-02T14:29:18.8,[2025-09-02T14:29:26.621] Recovered state of 0 reservations,node_recovered
T00017268,2,: node <*> update_node: node_node. [2025-09-03T07:52:06.807] update_node: node,[2025-09-03T07:52:06.807] power down request repeating for node cpu-48c-mem-dy-r7i24xlarge-20,
T00015715,2,<*> job_signal: 9 of running <*> successful 0x8004 job_signal: 9 of running <*> successful 0x8004 job_signal: 9 of running <*>,[2025-08-28T11:24:49.003] sched: Allocate JobId=820 NodeList=cpu-16c-std-dy-c7i8xlarge-1 #CPUs=16 Partition=cpu-16c-std,
T00015716,2,0-dy-c7i8xlarge-100dy-c7i8xlarge-1001] [2025-08-28T10:24:31.001] sched: [2025-08-28T10:24:31.,[2025-08-28T17:09:40.173] job_signal: 9 of running JobId=828 successful 0x8004,
T00015724,2,-c7i8xlarge-1-c7i8xlarge-1-c7i8xlarge-1-c7i8xlarge-1 cpu-16c-std-dy-c7i8xlarge-1 POWER: POWER:,[2025-09-01T16:57:17.001] sched: Allocate JobId=867 NodeList=cpu-48c-std-dy-c7i24xlarge-13 #CPUs=48 Partition=cpu-48c-std,
T00016170,2,: node:-c7i24xlarge-8. [2025-09-01T15:43:06.201] update_node: node cpu-48c-std-dy-c7i24xlarge-8 reason set to: En,[2025-09-01T15:53:06.191] power down request repeating for node cpu-48c-std-dy-c7i24xlarge-15,
T00015731,2,cpu-16c-std-dy-c7i8xlarge-1.c7i8xlarge-1-c7i8xlarge-1 [2025-08-28T11:10:27.372] [2025-08-28T11:,[2025-08-30T12:04:27.381] POWER: Power save mode: 210 nodes,
T00015736,2,[2025-08-28T11:28:49.972] _job_complete: JobId=820 done [2025-08-28T11:28:49.972] [2025-08-28T11:28:49.972] _job,[2025-08-29T09:52:58.249] _job_complete: JobId=830 WEXITSTATUS 0,
